employee_id,department,region,education,gender,recruitment_channel,no_of_trainings,age,previous_year_rating,length_of_service,KPIs_met >80%,awards_won?,avg_training_score,is_promoted
24414,R&D,region_2,,m,other,1,25,,1,1,0,76,0
63237,Technology,region_22,Bachelor's,m,referred,1,26,4.0,2,0,0,82,0
32838,Technology,region_7,Bachelor's,m,other,1,31,4.0,4,0,0,78,0
23003,Technology,region_14,Bachelor's,f,other,1,38,5.0,7,1,0,82,0
45198,Sales & Marketing,region_13,Bachelor's,m,other,1,39,4.0,9,0,0,49,0
40376,Sales & Marketing,region_4,Bachelor's,m,other,1,30,5.0,4,0,1,50,0
60176,Procurement,region_15,Master's & above,f,other,1,34,5.0,8,1,0,67,0
67652,Procurement,region_23,Master's & above,f,other,1,33,3.0,5,1,0,72,0
15476,Technology,region_2,Bachelor's,f,other,1,29,5.0,3,1,0,78,0
55811,Operations,region_2,Bachelor's,m,sourcing,1,28,4.0,2,1,0,61,0
15737,Finance,region_22,Bachelor's,m,sourcing,1,24,,1,0,0,56,0
10058,Analytics,region_22,Bachelor's,m,other,2,26,4.0,2,1,0,87,0
73435,Legal,region_22,Bachelor's,m,sourcing,1,34,5.0,4,0,0,64,0
51255,Sales & Marketing,region_27,Bachelor's,m,sourcing,1,35,3.0,7,0,0,46,0
70060,Technology,region_13,Master's & above,m,other,1,43,3.0,14,0,0,79,0
51473,Sales & Marketing,region_15,Bachelor's,m,other,1,34,1.0,8,0,0,39,0
71904,Technology,region_7,Master's & above,f,other,2,38,3.0,10,0,0,88,0
76080,Operations,region_7,Bachelor's,f,other,1,34,1.0,5,0,0,54,0
33357,Operations,region_22,Bachelor's,m,sourcing,1,41,4.0,4,0,0,63,0
53502,Finance,region_7,Bachelor's,m,sourcing,2,29,1.0,4,0,0,61,0
26409,Operations,region_2,Bachelor's,m,other,1,33,4.0,3,0,0,61,0
59608,Sales & Marketing,region_2,Master's & above,f,other,1,41,4.0,5,1,0,48,0
28687,Operations,region_2,Master's & above,m,other,3,38,3.0,11,0,0,57,0
34312,Procurement,region_2,Master's & above,f,other,2,54,4.0,23,0,0,66,0
11438,Sales & Marketing,region_13,Master's & above,f,sourcing,2,34,2.0,8,0,0,49,0
11794,R&D,region_2,Bachelor's,m,other,2,26,5.0,3,1,0,87,0
48756,Operations,region_7,Bachelor's,f,sourcing,1,35,5.0,3,0,0,59,0
35873,Legal,region_2,Below Secondary,m,other,1,28,,1,0,0,62,0
13970,Operations,region_33,Master's & above,m,other,1,36,3.0,4,0,0,60,0
49868,Technology,region_5,Bachelor's,m,other,1,45,3.0,15,0,0,87,0
25261,Procurement,region_7,Master's & above,m,other,1,38,4.0,7,0,0,66,0
44536,Sales & Marketing,region_27,Bachelor's,f,other,1,26,2.0,4,0,0,47,0
55550,Analytics,region_27,,m,sourcing,1,31,3.0,4,0,0,85,0
27989,Analytics,region_34,Bachelor's,m,sourcing,1,32,3.0,7,0,0,87,0
12598,Analytics,region_6,Bachelor's,m,sourcing,1,29,4.0,4,0,0,78,0
32877,Sales & Marketing,region_2,Bachelor's,f,other,1,40,3.0,12,0,0,50,0
30682,Technology,region_2,Bachelor's,m,referred,2,29,4.0,6,0,0,75,0
1829,Analytics,region_28,Bachelor's,m,other,2,31,5.0,7,1,0,87,0
2177,Finance,region_16,Bachelor's,m,other,1,32,5.0,6,1,0,58,0
51771,Operations,region_17,Bachelor's,m,other,1,42,5.0,11,0,0,67,0
26026,Procurement,region_15,Bachelor's,f,sourcing,1,30,5.0,3,1,0,65,0
64977,Procurement,region_16,Bachelor's,f,other,1,24,3.0,2,1,0,70,0
44585,Sales & Marketing,region_30,Bachelor's,m,sourcing,1,35,3.0,7,0,0,56,0
43562,Technology,region_5,Bachelor's,f,sourcing,2,32,1.0,3,0,0,80,0
56287,HR,region_2,Bachelor's,f,sourcing,1,22,3.0,2,0,0,47,0
19100,Sales & Marketing,region_2,Bachelor's,m,sourcing,2,44,5.0,14,0,0,48,0
58203,Operations,region_16,Bachelor's,m,other,2,39,3.0,9,0,0,58,0
12504,Technology,region_7,Bachelor's,f,other,1,46,4.0,17,0,0,85,0
49126,Technology,region_15,Bachelor's,m,other,1,29,2.0,5,0,0,77,0
66469,Finance,region_7,Bachelor's,m,other,1,26,1.0,3,0,0,59,0
53350,Operations,region_23,Bachelor's,m,other,1,35,4.0,5,0,0,61,0
22031,Procurement,region_2,Bachelor's,f,other,1,29,4.0,2,1,0,95,1
36185,Technology,region_13,Bachelor's,m,sourcing,1,30,2.0,9,0,0,79,0
58415,Sales & Marketing,region_7,Bachelor's,m,other,1,45,4.0,5,0,0,50,0
71763,Sales & Marketing,region_15,Bachelor's,f,other,1,30,1.0,6,0,0,47,0
62742,Finance,region_32,Bachelor's,m,sourcing,1,28,2.0,4,0,0,59,0
33619,Technology,region_2,Master's & above,m,sourcing,1,46,5.0,10,1,0,76,0
41212,Procurement,region_7,Bachelor's,m,sourcing,1,27,2.0,2,0,0,69,0
40204,Sales & Marketing,region_11,Bachelor's,m,sourcing,1,34,2.0,5,0,0,47,0
59131,Analytics,region_19,Bachelor's,m,sourcing,2,32,5.0,3,1,0,86,0
12559,Operations,region_22,Bachelor's,f,other,1,35,5.0,10,0,0,63,0
30433,Procurement,region_27,Bachelor's,m,other,1,36,4.0,3,1,0,66,0
13150,Procurement,region_2,Master's & above,f,other,1,58,1.0,13,0,0,70,0
9616,Finance,region_31,Bachelor's,m,other,1,29,4.0,4,0,0,57,0
26563,Procurement,region_2,Bachelor's,f,referred,1,33,3.0,3,1,0,67,0
38331,Operations,region_16,Bachelor's,f,other,1,32,5.0,6,0,0,62,0
18651,Legal,region_22,Below Secondary,m,other,1,25,5.0,2,1,0,59,0
45004,Procurement,region_13,Bachelor's,m,other,4,41,2.0,9,0,0,68,0
11892,Procurement,region_12,Bachelor's,f,other,1,25,,1,1,0,69,0
16859,Analytics,region_2,Master's & above,m,other,1,50,1.0,7,0,1,79,0
26107,Sales & Marketing,region_26,Bachelor's,m,other,1,30,1.0,7,0,0,53,0
22511,Technology,region_24,Bachelor's,m,sourcing,1,28,,1,0,0,81,0
22865,Analytics,region_20,Master's & above,m,other,1,40,5.0,5,0,1,83,1
67467,Finance,region_2,Below Secondary,f,other,1,26,3.0,2,0,0,61,0
2268,Technology,region_13,Bachelor's,m,other,1,35,5.0,8,1,0,81,0
33517,Sales & Marketing,region_7,Master's & above,m,other,1,37,3.0,7,1,0,52,0
27605,Operations,region_22,Master's & above,m,other,1,34,3.0,3,0,0,75,1
69349,Operations,region_8,Bachelor's,m,sourcing,1,25,3.0,2,0,0,57,0
45496,Sales & Marketing,region_2,,m,other,1,22,5.0,2,0,0,62,1
66262,Procurement,region_2,Bachelor's,f,other,2,26,5.0,2,1,0,68,1
55425,Technology,region_2,Bachelor's,f,other,1,31,4.0,7,1,0,80,0
29543,Finance,region_2,Bachelor's,m,sourcing,4,31,5.0,3,1,0,60,0
36547,Analytics,region_25,Bachelor's,m,sourcing,1,32,3.0,6,1,0,86,0
