NQUEST,ANASC,ETA,Q
25760,1999,5,3
25930,1946,58,1
25930,1948,56,3
25930,1977,27,1
25968,1941,63,3
25968,1944,60,3
25970,1927,77,3
25970,1931,73,3
25974,1934,70,3
25974,1935,69,3
25978,1925,79,3
26048,1942,62,3
26048,1944,60,3
26163,1956,48,1
26163,1960,44,1
26163,1987,17,3
26163,1993,11,3
26199,1949,55,1
26199,1950,54,3
26199,1981,23,3
26281,1922,82,3
26310,1939,65,3
26310,1941,63,3
26310,1975,29,1
26349,1932,72,3
26349,1938,66,3
26499,1928,76,3
26499,1954,50,3
26499,1965,39,3
26499,1967,37,3
26574,1948,56,1
26574,1952,52,1
26574,1973,31,1
26574,1980,24,1
26653,1933,71,3
26684,1944,60,3
26684,1967,37,1
27108,1964,40,3
27108,1952,52,1
27108,1984,20,3
27108,1987,17,3
27108,1990,14,3
27108,1922,82,3
27109,1925,79,3
27114,1938,66,3
27114,1924,80,3
27116,1937,67,3
27116,1940,64,3
27123,1949,55,3
27123,1953,51,3
27123,1978,26,3
27155,1957,47,2
27155,1961,43,1
27155,1989,15,3
27155,1995,9,3
27157,1960,44,2
27157,1963,41,2
27157,1990,14,3
27157,1996,8,3
27178,1908,96,3
27178,1919,85,3
27224,1950,54,3
27224,1953,51,2
27224,1979,25,1
27238,1952,52,3
27238,1961,43,1
27238,1978,26,1
27238,1981,23,3
27505,1945,59,3
27505,1947,57,1
27509,1931,73,3
27509,1934,70,3
27730,1949,55,3
27730,1939,65,3
27730,1972,32,1
27730,1985,19,3
27734,1951,53,3
27734,1947,57,3
27734,1980,24,3
27739,1938,66,3
27741,1948,56,3
27741,1943,61,3
27741,1969,35,3
27741,1974,30,1
27741,1994,10,3
27742,1932,72,3
27742,1974,30,3
27744,1947,57,3
27744,1937,67,3
27744,1966,38,2
27744,1973,31,3
27746,1961,43,3
27746,1962,42,2
27746,1986,18,3
27746,1989,15,3
27795,1945,59,3
27795,1945,59,3
27795,1974,30,1
27795,1922,82,3
27881,1928,76,3
27881,1953,51,3
27912,1948,56,1
27912,1954,50,1
27912,1985,19,3
27923,1957,47,3
27923,1951,53,1
27923,1982,22,3
27923,1979,25,1
27923,1986,18,3
27923,1992,12,3
27923,2000,4,3
27930,1933,71,3
27930,1938,66,3
27947,1933,71,3
27947,1932,72,3
28100,1955,49,1
28100,1960,44,1
28100,1983,21,3
28100,1983,21,3
28100,1989,15,3
28100,2003,1,3
28125,1925,79,3
28125,1927,77,3
28221,1929,75,3
28331,1915,89,3
28331,1924,80,3
28346,1930,74,3
28362,1928,76,3
28441,1950,54,1
28441,1958,46,1
28448,1941,63,3
28448,1944,60,3
28448,1975,29,1
28766,1953,51,1
28766,1959,45,1
28766,1984,20,3
28802,1960,44,3
28802,1956,48,1
28802,1984,20,3
28802,1986,18,3
28802,1996,8,3
28859,1930,74,3
28859,1928,76,3
28897,1951,53,1
28920,1920,84,3
28932,1956,48,1
28932,1980,24,3
28954,1943,61,1
28954,1978,26,3
28992,1931,73,3
28992,1941,63,3
29006,1944,60,1
29006,1946,58,3
29140,1949,55,1
29140,1952,52,1
29140,1979,25,1
29140,1983,21,1
29280,1950,54,1
29280,1950,54,1
29280,1981,23,3
29280,1986,18,3
29286,1929,75,3
29288,1970,34,2
29288,1978,26,3
29288,2004,0,3
29292,1956,48,1
29292,1960,44,3
29292,1979,25,3
29292,1982,22,1
29359,1946,58,3
29359,1951,53,1
29359,1974,30,2
29359,1976,28,1
29362,1929,75,3
29570,1930,74,3
29678,1933,71,3
29678,1937,67,3
29680,1964,40,1
29680,1970,34,3
29680,1990,14,3
29680,1994,10,3
29684,1953,51,1
29684,1953,51,1
29684,1982,22,3
29684,1985,19,3
29687,1966,38,2
29687,1965,39,3
29687,1989,15,3
29687,1994,10,3
29737,1951,53,1
29737,1953,51,1
29742,1952,52,1
29742,1954,50,1
29742,1975,29,3
29742,1986,18,3
29773,1962,42,1
29773,1962,42,3
29773,1996,8,3
29774,1926,78,3
29798,1935,69,3
29798,1936,68,3
29805,1942,62,3
29805,1938,66,3
29805,1921,83,3
29823,1960,44,3
29823,1965,39,1
29823,1994,10,3
29823,1995,9,3
29823,1998,6,3
29823,2001,3,3
31051,1920,84,3
31051,1958,46,2
31051,1960,44,3
31051,1981,23,3
31051,1986,18,3
31066,1940,64,3
31066,1943,61,3
31066,1970,34,3
31066,1975,29,1
31090,1945,59,3
31090,1950,54,3
31090,1976,28,1
31090,1981,23,1
31090,1976,28,3
31090,2003,1,3
31092,1964,40,1
31092,1966,38,3
31092,1992,12,3
31092,1994,10,3
31092,2000,4,3
31093,1954,50,2
31120,1940,64,3
31120,1940,64,2
31120,1972,32,1
31122,1952,52,1
31122,1958,46,3
31122,1979,25,1
31122,1980,24,3
31137,1954,50,1
31137,1958,46,1
31137,1985,19,3
31137,1986,18,3
31145,1946,58,3
31145,1951,53,3
31161,1958,46,1
31161,1962,42,1
31161,1984,20,3
31161,1989,15,3
31163,1953,51,2
31163,1956,48,2
31163,1978,26,3
31163,1986,18,3
31163,1993,11,3
31163,2000,4,3
31191,1925,79,3
31191,1924,80,3
31219,1929,75,3
31220,1938,66,3
31220,1935,69,3
31221,1938,66,3
31221,1979,25,3
31222,1920,84,3
31223,1921,83,3
31246,1942,62,3
31246,1944,60,3
31273,1938,66,3
31273,1934,70,3
31281,1944,60,2
31281,1946,58,2
31304,1941,63,3
31304,1942,62,3
31304,1971,33,3
31309,1955,49,1
31309,1958,46,3
31309,1986,18,3
31309,1991,13,3
31309,1933,71,3
31311,1919,85,3
31334,1921,83,3
31341,1930,74,3
31341,1940,64,3
31360,1929,75,3
31387,1957,47,1
31387,1959,45,3
31387,1984,20,3
31403,1926,78,3
31403,1965,39,1
31416,1952,52,1
31416,1952,52,1
31441,1942,62,1
31441,1944,60,3
31448,1935,69,3
31448,1966,38,1
31556,1937,67,3
31556,1941,63,3
31560,1943,61,3
31560,1953,51,1
31561,1940,64,3
31561,1943,61,3
31625,1931,73,3
31625,1957,47,1
31641,1959,45,1
31641,1955,49,1
31641,1980,24,1
31641,1984,20,1
31652,1941,63,3
31652,1943,61,3
31655,1961,43,1
31655,1961,43,2
31655,1992,12,3
31655,1999,5,3
31663,1942,62,3
31663,1943,61,3
31663,1970,34,2
31665,1937,67,3
31665,1938,66,3
31671,1952,52,3
31671,1980,24,3
31676,1954,50,1
31676,1954,50,1
31676,1980,24,3
31676,1985,19,3
31682,1937,67,3
31682,1942,62,3
31693,1936,68,3
31693,1958,46,1
31695,1964,40,1
31695,1969,35,3
31695,1987,17,3
31695,1992,12,3
31710,1919,85,3
31715,1961,43,1
31715,1959,45,1
31715,1987,17,3
31715,1992,12,3
31723,1950,54,3
31724,1958,46,1
31724,1962,42,1
31724,1991,13,3
31724,1996,8,3
31735,1944,60,3
31735,1935,69,3
31751,1949,55,3
31751,1950,54,3
31751,1980,24,1
31751,1984,20,3
31757,1935,69,3
31785,1946,58,3
31785,1949,55,1
31785,1973,31,2
31798,1936,68,3
31799,1941,63,3
31799,1948,56,3
31799,1979,25,1
31859,1925,79,3
31859,1937,67,3
31860,1958,46,1
31860,1961,43,1
31860,1985,19,3
31860,1989,15,3
31868,1954,50,1
31868,1959,45,3
31868,1983,21,3
31868,1998,6,3
31869,1951,53,1
31869,1956,48,3
31869,1979,25,3
31869,1987,17,3
31869,1994,10,3
31912,1940,64,3
31912,1930,74,3
31914,1960,44,3
31914,1957,47,1
31914,1985,19,3
31918,1930,74,3
31918,1933,71,3
32001,1934,70,3
32001,1934,70,3
32028,1950,54,1
32028,1950,54,1
32028,1977,27,2
32028,1985,19,3
32033,1952,52,1
32033,1950,54,3
32033,1986,18,3
32034,1944,60,3
32034,1948,56,3
32041,1942,62,3
32041,1944,60,3
32044,1937,67,3
32047,1937,67,3
32047,1950,54,3
32052,1941,63,3
32052,1944,60,1
32052,1913,91,3
32057,1938,66,2
32057,1943,61,3
32057,1967,37,2
32059,1931,73,3
32065,1921,83,3
32066,1925,79,3
32066,1925,79,3
32067,1915,89,3
32139,1957,47,1
32139,1955,49,1
32139,1983,21,3
32139,1994,10,3
32140,1948,56,3
32144,1941,63,3
32144,1946,58,3
32144,1977,27,1
32190,1947,57,1
32198,1946,58,3
32198,1940,64,3
32206,1963,41,3
32206,1985,19,3
32209,1950,54,3
32209,1940,64,3
32209,1976,28,1
32210,1950,54,3
32210,1946,58,1
32210,1980,24,1
32210,1985,19,3
32210,1989,15,3
32229,1916,88,3
32229,1922,82,3
32235,1961,43,3
32235,1954,50,1
32235,1984,20,1
32235,1985,19,1
32283,1929,75,3
32283,1928,76,3
32288,1960,44,1
32288,1960,44,1
32288,1983,21,1
32303,1936,68,3
32303,1936,68,3
32303,1970,34,1
32303,1971,33,1
32303,1993,11,3
32318,1936,68,3
32320,1962,42,1
32320,1958,46,1
32320,1992,12,3
32320,1994,10,3
32328,1915,89,3
32428,1932,72,3
32428,1942,62,3
32428,1976,28,3
32428,1977,27,3
32438,1925,79,3
32438,1927,77,3
32438,1964,40,3
32464,1927,77,3
32467,1922,82,3
32467,1927,77,3
32467,1963,41,2
32470,1927,77,3
32470,1968,36,2
32471,1945,59,3
32522,1942,62,3
32522,1941,63,3
32524,1945,59,3
32524,1948,56,1
32556,1947,57,1
32602,1967,37,3
32602,1965,39,2
32602,1992,12,3
32668,1950,54,3
32668,1949,55,3
32668,1974,30,1
32668,1977,27,1
32669,1935,69,3
32669,1947,57,3
32669,1972,32,3
32703,1945,59,1
32703,1942,62,1
32709,1940,64,3
32709,1944,60,2
32709,1971,33,1
32709,1979,25,3
32713,1952,52,2
32713,1950,54,2
32713,1973,31,3
32713,1975,29,3
32729,1954,50,2
32729,1958,46,3
32729,1985,19,1
32731,1928,76,3
32731,1935,69,3
32733,1931,73,3
32733,1936,68,3
32734,1965,39,1
32734,1973,31,1
32734,2000,4,3
32734,2004,0,3
32742,1946,58,3
32742,1946,58,3
32743,1917,87,3
32743,1922,82,3
32751,1939,65,3
32751,1949,55,3
32764,1958,46,2
32764,1959,45,1
32764,1988,16,3
32764,1990,14,3
32764,2002,2,3
32765,1956,48,1
32765,1954,50,1
32772,1952,52,3
32772,1949,55,3
32772,1977,27,1
32810,1936,68,3
32822,1929,75,3
32822,1931,73,3
32822,1961,43,2
32822,1962,42,1
32822,1969,35,3
32839,1945,59,3
32839,1944,60,3
32861,1946,58,3
32861,1951,53,1
32861,1976,28,1
32861,1979,25,1
32861,1989,15,3
32866,1960,44,1
32867,1943,61,3
32867,1951,53,3
32867,1985,19,3
32875,1962,42,1
32875,1966,38,1
32875,1993,11,3
32883,1923,81,3
32887,1962,42,2
32887,1965,39,2
32887,1988,16,3
32887,1990,14,3
32925,1960,44,1
32925,1965,39,3
32925,1993,11,3
32925,1997,7,3
32962,1943,61,3
32962,1947,57,3
32978,1926,78,3
32982,1940,64,3
32982,1975,29,3
32987,1935,69,3
32987,1937,67,3
33036,1936,68,3
33036,1939,65,3
33036,1965,39,1
33038,1955,49,3
33038,1957,47,1
33038,1988,16,3
33038,1990,14,3
33038,1985,19,3
33209,1930,74,3
33209,1931,73,3
33219,1958,46,2
33219,1983,21,1
33219,1920,84,3
33228,1921,83,3
33228,1916,88,3
33238,1932,72,3
33245,1933,71,3
33245,1936,68,3
33245,1991,13,3
33252,1946,58,3
33252,1946,58,3
33275,1936,68,3
33275,1945,59,1
33275,1973,31,3
33275,1979,25,3
33303,1947,57,3
33303,1939,65,3
33328,1957,47,2
33328,1929,75,3
33328,1936,68,3
33328,1961,43,1
33328,1986,18,3
33328,1988,16,3
33335,1960,44,1
33335,1959,45,1
33335,1983,21,3
33335,1988,16,3
33336,1970,34,2
33336,1943,61,3
33347,1935,69,3
33348,1939,65,3
33348,1944,60,3
33348,1970,34,2
33361,1925,79,3
33382,1954,50,1
33382,1952,52,3
33451,1955,49,1
33451,1983,21,3
33451,1993,11,3
33455,1936,68,3
33479,1934,70,3
33479,1936,68,3
33604,1921,83,3
33631,1938,66,3
33631,1945,59,3
33631,1978,26,3
33631,1983,21,3
33637,1947,57,1
33637,1913,91,3
33644,1937,67,3
33684,1944,60,1
33684,1946,58,3
33684,1968,36,3
33684,1972,32,3
33684,1976,28,3
33751,1946,58,1
33751,1950,54,3
33751,1977,27,3
33761,1939,65,3
33761,1944,60,3
33761,1980,24,3
33773,1952,52,1
33773,1959,45,3
33773,1982,22,3
33773,1985,19,3
33773,2002,2,3
33777,1960,44,2
33777,1963,41,3
33777,1986,18,3
33777,1990,14,3
33778,1960,44,2
33778,1961,43,1
33778,1986,18,3
33778,1987,17,3
33778,1989,15,3
33781,1957,47,2
33781,1961,43,2
33781,1986,18,3
33781,1992,12,3
33814,1952,52,1
33814,1952,52,3
33816,1920,84,3
33823,1929,75,3
33839,1946,58,3
33839,1944,60,3
33839,1977,27,2
33865,1954,50,1
33865,1957,47,1
33865,1992,12,3
33865,1998,6,3
33877,1963,41,2
33877,1958,46,1
33882,1951,53,1
33882,1959,45,3
33882,1982,22,3
33888,1929,75,3
33888,1925,79,3
33889,1943,61,3
33889,1952,52,1
33889,1974,30,1
33937,1939,65,3
33937,1947,57,3
33937,1972,32,1
33937,1974,30,1
33941,1947,57,2
33941,1955,49,2
33941,1976,28,1
33941,1978,26,3
33983,1956,48,1
33983,1959,45,1
33983,2000,4,3
33985,1949,55,2
33985,1954,50,1
33985,1981,23,3
33985,1985,19,3
33985,1989,15,3
33994,1946,58,3
33994,1950,54,3
33994,1976,28,3
34059,1951,53,1
34059,1952,52,1
34099,1924,80,3
34198,1942,62,1
34198,1941,63,3
34199,1937,67,3
34199,1943,61,1
34199,1969,35,3
34199,1971,33,1
34211,1930,74,3
34211,1932,72,3
34228,1957,47,1
34228,1949,55,1
34230,1934,70,3
34230,1973,31,1
34252,1948,56,1
34255,1941,63,3
34255,1940,64,3
34255,1974,30,1
34269,1962,42,1
34269,1962,42,1
34269,1991,13,3
34302,1920,84,3
34302,1957,47,1
34302,1961,43,3
34302,1986,18,3
34302,1993,11,3
34305,1962,42,1
34305,1964,40,2
34305,1989,15,3
34305,1994,10,3
34340,1934,70,3
34377,1944,60,3
34377,1945,59,3
34396,1967,37,1
34396,1933,71,3
34476,1951,53,3
34476,1951,53,3
34513,1949,55,1
34513,1958,46,3
34513,1979,25,1
34513,1982,22,3
34525,1946,58,3
34525,1951,53,3
34525,1975,29,3
34541,1939,65,3
34541,1945,59,3
34541,1977,27,3
34544,1951,53,2
34544,1955,49,3
34544,1977,27,3
34544,1987,17,3
34732,1938,66,3
34732,1943,61,3
34738,1953,51,1
34738,1958,46,2
34738,1979,25,1
34738,1980,24,3
34738,1998,6,3
34757,1926,78,3
34778,1927,77,3
34778,1937,67,3
34778,1963,41,1
34791,1950,54,3
34793,1944,60,1
34793,1952,52,3
34793,1982,22,3
34793,1985,19,1
34800,1938,66,3
34800,1942,62,3
34825,1953,51,1
34825,1954,50,1
34825,1977,27,3
34825,1986,18,3
34833,1936,68,3
34833,1940,64,3
34833,1964,40,1
34833,1972,32,1
34886,1961,43,1
34886,1927,77,3
34900,1967,37,3
34900,1963,41,1
34900,1994,10,3
34900,2002,2,3
34983,1966,38,1
35005,1941,63,1
35005,1982,22,3
35022,1966,38,1
35022,1966,38,3
35022,1991,13,3
35022,1993,11,3
35025,1932,72,3
35032,1958,46,1
35032,1960,44,1
35032,1988,16,3
35032,1990,14,3
35106,1948,56,3
35106,1944,60,2
35106,1977,27,3
35106,1981,23,3
35135,1944,60,3
35135,1971,33,3
35135,1968,36,3
35146,1930,74,3
35146,1935,69,3
35146,1966,38,3
35146,1968,36,3
35146,1996,8,3
35146,1999,5,3
35155,1932,72,3
35155,1932,72,3
35157,1946,58,3
35157,1946,58,3
35157,1975,29,1
35157,1977,27,3
35169,1936,68,3
35169,1944,60,3
35169,1973,31,1
35169,1975,29,1
35214,1945,59,3
35214,1946,58,3
35214,1980,24,3
35214,1982,22,3
35228,1956,48,1
35228,1960,44,1
35228,1979,25,2
35228,1989,15,3
35234,1939,65,3
35281,1940,64,3
35281,1947,57,3
35281,1971,33,3
35281,1973,31,2
35319,1934,70,3
35319,1937,67,3
35322,1929,75,3
35322,1937,67,3
35323,1937,67,3
35323,1937,67,3
35326,1936,68,3
35326,1933,71,3
35327,1959,45,1
35327,1965,39,3
35327,1921,83,3
35340,1935,69,3
35340,1938,66,3
35346,1941,63,3
35346,1946,58,3
35349,1930,74,3
35349,1932,72,3
35355,1928,76,3
35355,1933,71,3
35366,1952,52,1
35366,1953,51,1
35366,1988,16,3
35366,1989,15,3
35370,1928,76,3
35371,1942,62,3
35372,1955,49,1
35372,1949,55,3
35372,1975,29,1
35372,1976,28,3
35374,1947,57,3
35374,1953,51,1
35374,1986,18,3
35374,1988,16,3
35374,1988,16,3
35379,1949,55,1
35379,1957,47,3
35379,1977,27,3
35379,1979,25,1
35381,1948,56,2
35381,1955,49,3
35381,1976,28,3
35381,1978,26,1
35381,1981,23,3
35381,1993,11,3
35385,1927,77,3
35399,1950,54,1
35399,1953,51,1
35399,1978,26,3
35399,1984,20,3
35401,1937,67,3
35401,1975,29,3
35401,1979,25,1
35450,1970,34,2
35450,1947,57,3
35450,1977,27,1
35458,1946,58,3
35458,1949,55,1
35458,1974,30,1
35475,1928,76,3
35475,1929,75,3
35486,1958,46,2
35486,1961,43,2
35486,1988,16,3
35486,1992,12,3
35488,1933,71,2
35488,1942,62,3
35498,1935,69,3
35498,1938,66,3
35498,1973,31,1
35500,1927,77,3
35500,1930,74,3
35502,1951,53,1
35502,1957,47,3
35502,1977,27,3
35502,1984,20,1
35507,1937,67,3
35507,1941,63,3
35507,1961,43,1
35507,1963,41,1
35508,1962,42,2
35508,1965,39,3
35508,1993,11,3
35508,1994,10,3
35508,1998,6,3
35508,2004,0,3
35512,1949,55,1
35512,1923,81,3
35518,1938,66,3
35518,1926,78,3
35520,1955,49,3
35520,1948,56,3
35520,1981,23,1
35520,1985,19,3
35588,1956,48,1
35588,1965,39,3
35588,1992,12,3
35588,1998,6,3
35598,1926,78,3
35598,1957,47,3
35600,1928,76,3
35600,1930,74,3
35636,1932,72,3
35640,1946,58,3
35640,1945,59,3
35643,1938,66,3
35643,1936,68,3
35643,1982,22,3
35647,1954,50,1
35647,1954,50,3
35647,1982,22,1
35647,1986,18,3
35676,1948,56,3
35676,1943,61,3
35679,1938,66,3
35682,1949,55,1
35682,1955,49,1
35682,1978,26,3
35682,1982,22,3
35682,1987,17,3
35682,1915,89,3
35712,1939,65,3
35712,1966,38,2
35718,1940,64,3
35718,1912,92,3
35728,1953,51,1
35728,1962,42,1
35728,1986,18,3
35735,1955,49,1
35735,1956,48,1
35735,1982,22,3
35735,1985,19,1
35788,1951,53,1
35788,1954,50,3
35788,1979,25,1
35788,1981,23,1
35788,1985,19,3
35812,1949,55,1
35812,1949,55,3
35812,1976,28,1
35812,1979,25,1
35862,1943,61,3
35862,1953,51,3
35862,1976,28,3
35862,1978,26,1
35862,1984,20,3
35899,1940,64,3
35899,1944,60,3
35899,1969,35,1
35899,1975,29,1
35968,1925,79,3
36010,1944,60,3
36010,1953,51,3
36010,1976,28,2
36010,1978,26,1
36067,1950,54,3
36067,1955,49,3
36067,1978,26,1
36067,1983,21,2
36073,1944,60,3
36073,1938,66,3
36106,1937,67,3
36106,1964,40,1
36120,1959,45,1
36120,1956,48,1
36120,1979,25,3
36120,1980,24,1
36120,1986,18,3
36130,1963,41,1
36130,1965,39,1
36130,1991,13,3
36131,1961,43,1
36131,1956,48,1
36131,1985,19,3
36131,1989,15,3
36142,1927,77,3
36142,1933,71,3
36146,1959,45,2
36146,1957,47,3
36146,1985,19,3
36146,1991,13,3
36148,1925,79,3
36148,1931,73,3
36156,1943,61,3
36156,1947,57,3
36156,1976,28,3
