NQUEST,AREA5,YL,YT,YM,YC,CD,CN,S,AR,AF,PF,BD
22279,2,0,0,15000,3179.796699,2000,17400,-1220.203301,123000,8000,0,20000
22286,2,10000,9100,0,13109.2267,1500,21600,9109.226699,310000,38000,0,42000
22292,2,0,20430,0,11315.00823,1200,12600,17945.00823,260000,55000,0,27000
22353,2,0,19110,0,12087.12095,1200,26400,3597.120947,280000,10500,1200,15000
22509,4,16900,28509,0,7200,0,20400,32209,304000,0,0,7000
22516,1,28577.1726,11050,0,7235.62809,1000,42277.1726,3585.62809,102500,67296.10676,11000,13000
22624,4,14000,-300,0,2200,0,14200,1700,277000,0,0,4000
22657,4,32000,0,0,24320.31517,14000,48000,-5679.684835,506000,14000,0,27000
22807,4,19500,0,0,0,11000,20400,-11900,2000,0,3000,12000
22850,2,20000,9594,0,10282.1165,0,22800,17076.1165,301500,33000,0,7000
22891,2,0,6760,0,4949.350194,0,18000,-6290.649806,478607,18000,0,2000
22995,1,0,16900,0,37112.96165,0,24000,30012.96165,2723000,150000,0,10000
22996,1,0,31421,0,8264.86165,0,22250,17435.86165,560500,50000,0,6000
23193,1,0,19500,0,20.7430825,0,19800,-279.2569175,0,2500,0,10000
23267,3,31000,0,0,7327.568745,0,27600,10727.56875,205000,15374.85385,0,25000
23367,2,0,17540,0,6464.879557,0,12100,11904.87956,303000,43976.05283,0,14000
23370,2,0,14096,0,262.769029,1000,10236,3122.769029,15000,18000,1000,18000
23384,2,0,14872,0,3848.91699,160,18000,560.91699,165000,30000,0,13000
23386,2,30000,0,0,9606.211578,6000,26300,7306.211578,470500,8700,0,35000
23490,2,0,14300,0,4827.187414,1500,13200,4427.187414,500,27200,0,6000
23552,3,49900,0,0,12588.67034,1000,36800,24688.67034,380000,83000,0,60000
23683,2,30000,13650,0,40456.34782,0,69400,14706.34782,132000,55000,3000,25000
23797,4,30000,0,0,7258.080631,0,12600,24658.08063,2000,7000,0,8000
23798,4,9000,9100,0,41.486165,0,13200,4941.486165,2000,5000,0,10000
23821,4,0,5356,0,2178.253913,0,6960,574.2539126,65300,2200,0,2500
23823,4,9400,12740,0,4200,540,15000,10800,147700,0,0,11000
23865,4,300,23400,0,9437.483458,0,27600,5537.483458,181000,1069.447852,10100,16000
23986,4,10000,8580,0,10090.83636,0,13200,15470.83636,730000,23000,0,21000
24010,4,0,16900,0,1800,0,17400,1300,300,0,0,30000
24080,4,43820,0,0,6224.025291,0,25520,24524.02529,215000,27000,0,34000
24085,4,0,6500,0,4445.755519,0,11400,-454.2444806,127000,29618.97291,0,7500
24138,2,20000,14950,0,9372.942281,0,32900,11422.94228,912000,57000,0,35000
24147,2,38000,0,0,33008.29723,0,42000,29008.29723,942000,1000,0,80000
24149,2,0,7150,0,12.4458495,500,8400,-1737.554151,200,1500,0,15000
24158,2,0,11400,0,3145.751932,0,9600,4945.751932,31000,27000,0,1000
24171,2,0,11570,0,4194.990487,0,10200,5564.990487,40300,22133.74505,0,6000
24194,2,24000,350,0,13348.8157,2000,31200,4498.815699,182000,8000,2000,25000
24195,2,12500,13000,0,4816.594466,0,19700,10616.59447,104000,2000,0,18000
24202,4,16770,30420,0,7593.288844,0,19200,35583.28884,295000,47400,0,20000
24304,2,102800,0,18000,27816.94233,3000,75400,70216.94233,530000,30000,35000,460000
24308,2,14300,37050,0,2749.783398,13000,18300,22799.7834,368000,6000,0,45500
24312,2,32030,0,100,5871.296165,0,23550,14451.29617,251000,15000,0,17000
24322,2,3000,19500,0,557.430825,500,14150,8407.430825,75500,25000,0,13500
24326,2,0,20150,0,7353.888495,0,16500,11003.8885,612500,45000,0,21000
24374,4,0,9100,0,4200,0,10200,3100,71000,0,0,8000
24379,4,0,9750,0,4833.188932,0,13200,1383.188932,150500,4000,0,300
24382,4,0,7540,0,4800,0,12000,340,95000,0,0,17000
24390,4,15050,18200,0,6856.190371,0,27150,12956.19037,255000,20000,0,20000
24393,4,0,28700,0,3600,0,24000,8300,82000,0,0,6000
24409,4,15600,22100,0,8123.115232,0,23850,21973.11523,402000,76300,0,25000
24446,4,0,18107,0,10882.97233,0,24300,4689.97233,415000,10000,0,3000
24529,2,85100,1000,0,207.430825,0,38400,47907.43083,2000,25000,0,20000
24571,3,0,16055,0,5331.589126,10100,13200,-1913.410874,750300,72000,2500,15000
24616,2,0,21255,0,36.3507624,8000,10440,2851.350762,4000,4381.070461,4000,10500
24760,4,0,9360,0,3984.536165,0,12000,1344.536165,130000,5000,15000,1000
24764,4,14480,0,0,5398.886165,200,18500,1178.886165,261000,5000,20000,120000
24809,4,0,8890,0,19928.34699,15000,27150,-13331.65301,653000,60000,0,25000
24853,3,36650,860,0,7668.89233,16000,32500,-3321.10767,303000,10000,16000,18000
24885,4,0,7800,0,82.97233,0,7200,682.97233,3000,10000,0,7000
24909,2,0,32760,0,4929.060985,0,19200,18489.06099,152000,15554.70182,0,5000
24912,2,41150,0,1000,28156.03563,1500,42150,26656.03563,300500,12000,17400,75000
24924,2,0,0,30000,243.966631,0,44760,-14516.03337,52500,13000,5000,15000
24984,3,25000,10400,0,18215.72806,0,30000,23615.72806,803000,26000,0,20000
25007,5,0,18200,0,8449.783398,0,13200,13449.7834,403000,6000,0,50500
25138,5,0,13000,0,3682.97233,0,15600,1082.97233,6000,10000,0,26000
25148,5,20000,0,20000,2929.15,5000,29500,8429.15,458000,0,60000,90000
25238,2,0,13000,0,6418.510748,0,14400,5018.510748,151000,19000,0,5000
25245,4,3600,0,0,-639.455534,0,11400,-8439.455534,131000,2000,85000,3500
25373,2,28282.73747,18590,0,15457.6934,1000,38682.73747,22647.6934,250000,116000,0,15300
25435,1,59000,0,0,9025.779542,0,36600,31425.77954,185000,3107.004663,0,29000
25625,3,0,13900,0,18744.0785,6000,32400,-5755.921505,840000,35000,0,21000
25723,2,16000,0,0,9639.826718,0,19200,6439.826718,217000,4800,0,13500
25727,2,20000,9000,3000,12082.97233,200,16800,27082.97233,396702.8112,10000,0,9000
25760,4,17000,5400,0,4932.755728,0,16800,10532.75573,163000,16000,0,30000
25930,1,33400,0,0,9698.27605,17350,35500,-9751.72395,199000,77411.18912,0,70000
25968,1,0,18980,0,7551.493832,1000,20400,5131.493832,71000,16532.60833,0,13000
25970,1,0,12194,0,42.40682384,4500,14700,-6963.593176,1000,5110.959743,0,8000
25974,1,0,15600,0,4823.143259,0,19200,1223.143259,92000,2789.274377,0,8000
25978,1,0,13000,0,106.7748254,0,14400,-1293.225175,1500,8576.104329,0,5000
26048,3,0,39000,0,1875.454466,0,23640,17235.45447,10000,62000,0,24000
26163,1,16400,0,0,16.8722063,10500,14280,-8363.127794,1000,1350,9000,14000
26199,1,29000,19500,0,8803.671893,20000,23300,14003.67189,222000,51000,0,28000
26281,3,0,13052,0,3658.080631,0,15600,1110.080631,201000,7000,0,3000
26310,4,10720,18600,0,6865.94466,0,21820,14365.94466,570060,20000,0,13000
26349,1,0,23140,0,6208.855827,14000,23400,-8051.144173,211000,31965.59061,0,38300
26499,5,0,10790,0,2400,0,12000,1190,51000,0,0,8000
26574,4,45000,0,0,79.3409987,19000,17148,8931.340999,2000,9562.344302,19000,20000
26653,1,0,13000,0,6041.486165,900,12000,6141.486165,250500,5000,0,2000
26684,1,11180,0,0,3515.653092,0,12000,2695.653092,71000,7047.902786,2500,13000
27108,5,16250,5850,0,2857.767551,4000,10400,10557.76755,140000,33.45105085,38000,65000
27109,5,0,9100,0,2400,0,8400,3100,40500,0,0,2500
27114,5,0,10660,0,4939.117134,0,10800,4799.117134,102000,16766.68999,0,10000
27116,5,0,12051,0,2937.337549,0,10100,4888.337549,73000,4500,0,33500
27123,5,0,18880,0,4115.046284,0,15900,7095.046284,122000,25917.8311,0,8000
27155,5,20000,0,15000,1882.97233,0,21000,15882.97233,102500,10000,0,52000
27157,5,0,0,36908.31875,3629.040316,16500,27600,-3562.640936,274743.3122,3500,0,42000
27178,5,0,14300,0,24.891699,0,13920,404.891699,250,3000,0,4000
27224,3,15000,20800,12000,4075.125097,5000,33600,13275.1251,165000,9500,35000,26000
27238,3,17100,6200,0,5624.891699,0,20000,8924.891699,73300,3000,0,7000
27505,2,14500,16250,0,6297.631398,500,18000,18547.6314,125000,14000,0,20000
27509,2,0,14300,0,2441.486165,0,12000,4741.486165,83000,5000,0,10200
27730,5,2500,15600,0,7081.849248,350,16000,8831.849248,117000,27500,0,10000
27734,5,0,13650,0,4391.083951,0,13200,4841.083951,41000,5800,8000,15000
27739,5,0,3354,0,11237.87733,100,10200,4291.87733,137500,15000,0,15000
27741,5,14000,11050,0,7285.915805,400,31200,735.9158052,30500,10354.75383,1400,17000
27742,5,0,4810,0,6889.173495,0,12300,-600.826505,75500,30000,0,17000
27744,5,0,9360,19000,5579.262749,1200,23200,9539.262749,132500,32040.06855,0,24000
27746,5,0,0,11000,41.486165,350,13200,-2508.513835,16500,7500,4000,9000
27795,3,15000,27300,0,7567.890631,0,25200,24667.89063,120500,17000,0,25000
27881,1,0,16250,0,111.1669373,0,8400,7961.166937,0,13398.07346,0,8000
27912,4,28600,0,0,8679.363495,0,25200,12079.3635,120500,20000,12000,11500
27923,4,37500,0,0,8437.337549,0,18000,27937.33755,3000,4500,2000,12000
27930,4,0,32500,0,6332.308659,2000,28800,8032.308659,102000,40050.5396,0,14000
27947,4,0,16692,0,2554.567642,100,12000,7146.567642,200300,18628.81782,0,15000
28100,5,45000,0,0,3549.516922,0,28800,19749.51692,105000,21424.84386,25000,40000
28125,3,0,16510,0,9782.97233,0,25300,992.97233,330000,10000,0,12000
28221,4,0,25467,0,9619.083636,0,15600,19486.08364,708000,2300,0,1000
28331,3,0,11115,0,4282.97233,0,12600,2797.97233,100500,10000,0,2000
28346,3,0,9230,0,4882.97233,0,13200,912.97233,203000,10000,0,10000
28362,3,0,24700,0,7666.482933,0,15000,17366.48293,201000,159410.2236,0,9500
28441,3,38000,0,0,2801.486165,800,14760,25241.48617,240000,5000,0,30000
28448,3,7200,12740,0,20.7430825,0,13080,6880.743083,300,2500,0,3500
28766,1,27600,0,0,4809.930863,0,13200,19209.93086,72000,1196.888574,0,9000
28802,1,27000,0,0,7224.891699,0,26400,7824.891699,43997.39851,3002,10000,20000
28859,2,0,20150,0,5458.080631,0,19800,5808.080631,203000,7000,0,5500
28897,1,12000,0,0,6012.973543,200,14400,3412.973543,1000,1563.598735,0,11500
28920,3,0,26600,0,20563.77864,0,37200,9963.77864,421000,80000,0,30000
28932,3,3000,7800,0,6024.891699,0,15600,1224.891699,127000,3000,0,30000
28954,5,24000,5830,0,14822.14583,1000,31400,12252.14583,145000,40000,0,45000
28992,5,0,20800,8000,20501.72592,0,34000,15301.72592,690000,56500,0,27000
29006,2,24700,0,0,6633.188932,0,18600,12733.18893,150000,4000,3500,35000
29140,3,53600,0,0,18681.09779,800,49800,21681.09779,377500,9774.076914,1000,40000
29280,4,49500,0,0,8520.84966,300,38200,19520.84966,705000,25000,0,11000
29286,4,0,7208,0,4400,0,10400,1208,90500,0,0,5000
29288,4,0,0,10000,3082.97233,0,15000,-1917.02767,150000,10000,0,25000
29292,4,27000,0,0,3600,250,25200,5150,85000,0,0,23000
29359,1,32000,0,10000,9.597188689,0,19800,22209.59719,5500,1156.673398,0,12000
29362,1,0,12350,0,7211.893635,0,15600,3961.893635,150800,1433.445894,0,5000
29570,2,0,10400,0,3082.97233,0,9000,4482.97233,192000,10000,0,30000
29678,5,0,9750,0,1841.486165,0,10800,791.486165,50250,5000,0,10000
29680,5,13000,0,0,1841.486165,0,13800,1041.486165,70500,5000,0,9000
29684,5,32200,0,0,4082.97233,0,29200,7082.97233,262000,10000,10000,40000
29687,5,0,0,12000,1812.44585,0,13800,12.4458495,146000,1500,0,13000
29737,4,40500,0,0,2157.866796,5000,31200,6457.866796,306000,12000,90000,20000
29742,4,34000,-6650,0,12000,10000,24000,5350,355000,0,10000,25000
29773,4,18350,150,0,16404.98474,500,28050,6354.984735,272000,95060.21024,0,30000
29774,4,0,9100,0,2404.148617,0,10800,704.1486165,3000,500,0,10000
29798,3,0,19240,0,7603.287495,3000,19200,4643.287495,233000,24000,0,7000
29805,3,0,26650,0,644.511699,0,25200,2094.511699,10000,23000,0,13000
29823,4,19000,8710,0,9736.904345,3000,27600,6846.904345,310000,16500,0,30000
31051,1,0,11700,18000,27.58396778,0,23112,6615.583968,42549.41633,3324.477905,0,13000
31066,1,12000,11050,0,54.62612689,0,18000,5104.626127,1000,6583.655887,0,12500
31090,1,30000,9100,0,14207.86403,7000,50100,-3792.135971,492000,13000,0,50000
31092,1,37000,0,0,11167.97589,3500,33600,11067.97589,93000,35000,0,6000
31093,1,0,0,23000,6315.294854,0,15600,13715.29485,605000,49000,12000,12000
31120,1,6500,0,36000,11674.8261,2000,33200,18974.8261,485000,124561.3441,0,73000
31122,1,34500,0,0,4086.538687,1200,28300,9086.538687,81500,15585.76059,6000,23500
31137,1,37000,0,0,14752.94862,0,44400,7352.948616,626000,19300,0,13500
31145,1,0,27703,0,2124.458495,0,21080,8747.458495,64000,15000,0,10000
31161,5,33800,0,0,9400.520316,0,27200,16000.52032,3000,3500,9000,15000
31163,5,0,0,15000,14279.0666,7000,36000,-13720.9334,510000,249000,3500,30000
31191,1,0,19500,0,78.8237135,5000,10656,3922.823714,8000,9500,0,9500
31219,5,0,5200,0,3000,0,7800,400,120200,0,0,2000
31220,2,0,23309,0,35539.22712,190,18100,40558.22712,1273000,28436.55152,0,8000
31221,2,0,13900,0,12607.00724,0,24000,2507.007244,252000,21071.1389,0,30000
31222,2,0,9750,0,8774.654402,350,16800,1374.654402,120100,16798.26324,0,8000
31223,5,0,19500,0,6188.093932,0,24000,1688.093932,20000,9000,0,32000
31246,1,0,19200,0,5188.552595,0,18000,6388.552595,75000,54760.93595,0,4500
31273,1,0,11687,0,11166.63949,0,15100,7753.639494,481500,32135.95346,0,15500
31281,1,0,0,30000,14257.21422,13000,28400,2857.214223,911500,31000,10000,17000
31304,3,0,7800,0,33986.25699,0,43200,-1413.74301,1125000,170000,0,30000
31309,3,16000,7800,0,4258.080631,0,19800,8258.080631,152500,7000,0,7500
31311,3,0,8580,0,2441.486165,0,9600,1421.486165,150000,5000,0,1700
31334,3,0,18200,0,8751.792427,0,14400,12551.79243,201000,64000,0,1000
31341,3,0,22750,0,6931.88932,0,24600,5081.88932,225000,40000,0,35000
31360,3,0,8710,0,1806.637786,0,9600,916.6377864,300,800,0,5200
31387,1,25000,0,0,15019.96617,900,29300,9819.966165,112700,85000,0,20000
31403,1,14500,9698,0,4891.8972,0,20400,8689.8972,205000,11075.6441,0,9500
31416,1,24400,0,0,8253.570184,800,21600,10253.57018,167000,2975.713004,24000,22000
31441,1,23000,20540,0,16824.85063,3500,39100,17764.85063,459000,177000,0,37000
31448,2,27134,26221,0,23166.24974,0,41944,34577.24974,592500,18831.54786,0,10000
31556,1,0,14300,0,2413.38522,0,8400,8313.38522,2000,1613.21491,0,12000
31560,1,12000,14300,0,10618.5098,0,12000,24918.5098,203000,298578.2189,53800,35000
31561,1,0,14300,0,142.6867025,0,13200,1242.686703,2000,17196.90197,0,13000
31625,1,15000,8450,0,7375.70745,0,16300,14525.70745,255000,135987.028,0,24000
31641,1,57000,0,0,-208.913835,600,40320,15871.08617,132000,5000,87000,22000
31652,1,0,40300,0,10945.56728,1000,28200,22045.56728,485000,182000,0,35000
31655,1,32500,0,12000,12453.94104,400,42100,14453.94104,253600,14353.18769,0,75500
31663,1,0,46800,10000,16158.72699,0,25200,47758.72699,1346500,40000,0,31000
31665,1,0,11778,0,6167.604107,0,12000,5945.604107,201000,20200,0,3100
31671,1,0,31200,0,13277.38703,0,21900,22577.38703,397000,196000,0,13000
31676,1,33600,0,0,9943.495194,12750,32400,-1606.504806,260000,63000,12800,40000
31682,1,0,28600,0,18619.51419,3000,36500,7719.514193,430000,14404.10229,4000,17000
31693,1,17000,9100,0,3132.86889,0,9000,20232.86889,84000,16013.6385,0,33000
31695,1,22000,0,0,2578.766253,0,9600,14978.76625,133000,21545.28538,0,38000
31710,1,0,10400,0,7088.750864,0,16800,688.750864,500,41000,0,300
31715,1,24000,0,0,24.891699,0,14040,9984.891699,300,3000,0,4500
31723,1,0,5430,0,2400,0,8400,-570,0,0,0,6000
31724,1,35500,0,0,5881.309466,0,22200,19181.30947,250100,17000,0,24000
31735,1,0,16900,0,6468.788163,1000,21000,1368.788163,81000,52584.49224,0,15000
31751,1,11500,27950,0,3429.830631,1800,20400,20679.83063,75500,7000,25000,3500
31757,1,0,8450,0,4415.624814,0,7200,5665.624814,94000,31409.9703,0,15000
31785,1,15000,17550,20000,9951.645271,18000,20700,23801.64527,710000,82457.41453,0,75000
31798,1,0,10244,0,64.83387233,0,11640,-1331.166128,1000,7813.914871,0,4500
31799,1,8295.225574,16900,0,7605.043143,0,22495.22557,10305.04314,142000,37454.78826,0,18000
31859,4,0,22828,0,2491.269563,300,20400,4619.269563,63000,11000,0,8000
31860,4,35000,0,0,8486.055183,3300,22200,17986.05518,123000,757554.3778,35000,11000
31868,4,13000,0,0,0,0,10020,2980,3000,0,0,13000
31869,4,12000,0,0,0,0,10020,1980,3000,0,0,15000
31912,1,0,17940,0,3724.458495,200,16800,4664.458495,120500,15000,0,15000
31914,1,30000,0,0,4448.91699,2000,28200,4248.91699,122000,30000,3000,25000
31918,1,0,13650,0,3970.916165,300,13800,3520.916165,111000,35000,0,8000
32001,1,0,10400,0,6012.680761,0,14400,2012.680761,152000,1528.312024,0,19000
32028,1,45850,0,5000,16471.6927,1800,45600,19921.6927,269000,224000,0,52000
32033,1,16000,12168,0,16335.78126,3700,30000,10803.78126,276900,34000,0,21000
32034,1,0,14768,0,4265.403935,0,15000,4033.403935,73000,7882.620005,0,30000
32041,1,0,20956,0,12124.4585,0,30000,3080.458495,352500,15000,0,11500
32044,1,0,6565,0,5.8080631,0,5700,870.8080631,2500,700,0,3000
32047,1,0,9360,0,120.3098785,350,10080,-949.6901215,6000,14500,0,13500
32052,1,13000,22100,0,10068.69766,0,33500,11668.69766,259000,33000,0,13000
32057,1,0,12480,26000,11692.46099,0,46700,3472.46099,195000,61500,0,23000
32059,1,0,9607,0,3031.564817,0,11400,1238.564817,1500,3804.258247,0,3500
32065,1,0,9867,0,2506.348397,0,10800,1573.348397,61000,12817.33281,0,4000
32066,1,0,23673,0,11077.01146,0,22000,12750.01146,243000,33386.00427,0,7500
32067,1,0,10660,0,2448.592472,0,10800,2308.592472,1000,5856.467064,0,2500
32139,1,30000,0,0,8314.181286,0,28680,9634.181286,164000,4119.600623,0,18000
32140,1,0,17570,0,8913.205881,4200,22200,83.20588092,20000,36526.57934,0,25000
32144,1,14000,14400,0,350,750,20150,7850,105000,0,0,32000
32190,1,20000,0,0,2658.88766,0,8400,14258.88766,50000,23000,0,5000
32198,1,0,36998,0,28469.68563,700,31200,33567.68563,1255000,106644.7117,0,30000
32206,5,0,8350,0,24.891699,0,10152,-1777.108301,1000,3000,0,15000
32209,5,15000,14950,0,6270.276165,2000,22200,12020.27617,115000,5000,17000,30000
32210,5,37400,0,0,0,8000,28360,1040,1000,0,5640,20000
32229,3,0,13000,0,3641.486165,500,14400,1741.486165,281500,5000,0,3000
32235,2,31400,0,0,23722.64723,23000,54720,-22597.35277,43500,1000,12000,20000
32283,2,0,15860,0,172.5824464,350,9960,5722.582446,200,20800,0,5700
32288,2,37050,0,2000,98.2210902,1000,17760,20388.22109,4000,11837.8127,3000,22000
32303,5,22600,14400,0,14427.45011,0,21600,29827.45011,772000,3308.345364,5000,80000
32318,2,0,11700,0,2732.669723,0,14760,-327.3302767,210250,100,32000,2000
32320,2,50500,0,0,3524.7366,35000,44500,-25475.2634,405000,8600,120000,42500
32328,5,0,9490,0,3600,0,9600,3490,53000,0,0,8000
32428,4,0,16250,0,3314.35,0,7200,12364.35,122000,0,5000,800
32438,4,0,12150,0,0,0,7680,4470,100,0,0,1100
32464,4,0,5330,0,1700,0,6500,530,32000,0,0,2000
32467,4,0,26000,23500,13123.14556,1000,36000,25623.14556,647382.9897,78456.50908,0,35000
32470,4,0,19500,5000,3682.97233,500,25200,2482.97233,128958.0804,10002,0,25000
32471,4,0,7540,0,3400,0,9400,1540,62000,0,0,5000
32522,2,0,21840,0,11114.11117,0,21600,11354.11117,155000,130000,0,13000
32524,2,17153,26078,0,25523.24799,0,44400,24354.24799,350000,381000,0,70000
32556,2,15600,3900,0,3616.594466,0,18000,5116.594466,500,2000,0,1500
32602,4,0,0,12000,0,0,11580,420,16000,0,0,4200
32668,4,14560,14300,0,2412.153455,0,26400,4872.153455,36000,1464.759997,0,3000
32669,4,0,13200,0,3600,0,13200,3600,203000,0,0,100000
32703,2,14800,0,0,62.2292475,0,10776,4086.229248,0,7500,0,5000
32709,2,32313.19453,26000,5000,32601.9411,2000,48313.19453,45601.9411,1451121.875,217855.6402,0,75000
32713,2,0,0,27500,9032.069892,1000,28200,7332.069892,180000,3865.130897,0,40000
32729,2,2000,0,23000,16465.59919,12000,43200,-13734.40081,1252000,86112.47216,187000,85000
32731,2,0,16900,0,6158.24962,0,15600,7458.24962,201000,6582.673116,0,7000
32733,2,0,18305.59726,0,7362.375694,0,21600,4067.972957,250500,13410.48125,0,5000
